"MDB_ID";"MDB_Name";"MDB_Bemerkung_01";"MDB_Bemerkung_02";"MDB_Bemerkung_03";"MdbArt_ID";"MdbArt_Art";"MdbArt_Bemerkung_01";"MDB_Rechte_Soll";"Rechte_Bemerkung_01";"MDB_Pfad";"MDB_Pfad_LW"
31;"BilderTabellen.mdb";"Bilder Verwalten";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/Tabellen/BilderTabellen.mdb";"P:/Datenbanken/Soorpark/Tabellen"
32;"FarbmusterTabellen.mdb";"Farbmuster Abhandeln";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/Tabellen/FarbmusterTabellen.mdb";"P:/Datenbanken/Soorpark/Tabellen"
33;"KalkulationTabellen.mdb";"VC Kalkulation";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/Tabellen/KalkulationTabellen.mdb";"P:/Datenbanken/Soorpark/Tabellen"
34;"MaterialTabellen.mdb";"VC Material";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/Tabellen/MaterialTabellen.mdb";"P:/Datenbanken/Soorpark/Tabellen"
35;"PreisbuchTabellen.mdb";"VC Preisbuch";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/Tabellen/PreisbuchTabellen.mdb";"P:/Datenbanken/Soorpark/Tabellen"
36;"SpiegelTabellen.mdb";"Soorpark Produktionsplanung aus Baan";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/Tabellen/SpiegelTabellen.mdb";"P:/Datenbanken/Soorpark/Tabellen"
37;"VariellaTabellen.mdb";"VC Elemente ERP";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/Tabellen/VariellaTabellen.mdb";"P:/Datenbanken/Soorpark/Tabellen"
38;"BaanSoorparkTabellen.mdb";"Soorpark Produktionsdaten aus Baan";"prüfen";;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/BaanSoorparkTabellen.mdb";"P:/Datenbanken/Soorpark"
39;"BenutzerTabellen.mdb";"Kopie";"prüfen";;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/BenutzerTabellen.mdb";"P:/Datenbanken/Soorpark"
40;"Dokumente.mdb";"Zeichnungen Ausdrucken Siina";"prüfen";;1;"FE";"Frontend (Anwendung)";5;"Administrator";"P:/Datenbanken/Soorpark/Dokumente.mdb";"P:/Datenbanken/Soorpark"
41;"DokumenteTabellen.mdb";"Zeichnungen Ausdrucken Siina";"prüfen";;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/DokumenteTabellen.mdb";"P:/Datenbanken/Soorpark"
42;"MaterialTabellen.mdb";"Kopie";"prüfen";;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/MaterialTabellen.mdb";"P:/Datenbanken/Soorpark"
43;"PreisbuchTabellen.mdb";"Kopie";"prüfen";;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/PreisbuchTabellen.mdb";"P:/Datenbanken/Soorpark"
44;"Spiegel.mdb";"Kopie";"prüfen";;1;"FE";"Frontend (Anwendung)";5;"Administrator";"P:/Datenbanken/Soorpark/Spiegel.mdb";"P:/Datenbanken/Soorpark"
45;"SpiegelTabellen.mdb";"Kopie";"prüfen";;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/SpiegelTabellen.mdb";"P:/Datenbanken/Soorpark"
46;"VariellaTabellen.mdb";"Kopie";"prüfen";;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Soorpark/VariellaTabellen.mdb";"P:/Datenbanken/Soorpark"
47;"ArchivMakaTabellen.mdb";"ABF-Doku und Schnittstelle";;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/ArchivMakaTabellen.mdb";"P:/Datenbanken/Tabellen"
48;"DB-DokumentationTabellen.mdb";;;;2;"BE";"Backend (Tabellen)";5;"Administrator";"/DB-DokumentationTabellen.mdb";
49;"DispoTabellen.mdb";;;;2;"BE";"Backend (Tabellen)";5;"Administrator";"/DispoTabellen.mdb";
50;"KontrolleTabellen.mdb";;;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/KontrolleTabellen.mdb";"P:/Datenbanken/Tabellen"
51;"KundendienstTabellen.mdb";;;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/KundendienstTabellen.mdb";"P:/Datenbanken/Tabellen"
52;"LogFileTabellen.mdb";;;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/LogFileTabellen.mdb";"P:/Datenbanken/Tabellen"
53;"MontageanleitungTabellen.mdb";;;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/MontageanleitungTabellen.mdb";"P:/Datenbanken/Tabellen"
54;"ProduktionTabellen.mdb";;;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/ProduktionTabellen.mdb";"P:/Datenbanken/Tabellen"
55;"ProtokollTabellen.mdb";;;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/ProtokollTabellen.mdb";"P:/Datenbanken/Tabellen"
56;"SaveTabellen.mdb";;;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/SaveTabellen.mdb";"P:/Datenbanken/Tabellen"
57;"VerkaufTabellen.mdb";;;;2;"BE";"Backend (Tabellen)";5;"Administrator";"P:/Datenbanken/Tabellen/VerkaufTabellen.mdb";"P:/Datenbanken/Tabellen"
