"VK-Auftrag";"VK-Position";"VK";"Lieferadresse";"KundeName";"Tour";"MengeTotal";"ArtikelNr";"ArtikelBezeichnung";"ProduktlinieID";"ProduktlinieBezeichnung";"ArtikelGruppe_ID";"ArtikelgruppeBezeichnung";"Geplanter_Liefertermin";"Geplantes_WE_ Datum";"Gewicht_Einzel";"Gewicht_Total";"Betrag";"Wechselkurs";"Produktionsauftrag";"ZollPosition_Nr";"ZollPosition_Bezeichnung"
"300012137";10;"300012137-10";"Richter + Frenzel GmbH + CO. KG, Kronacherstrasse 100, DE-96052 Bamberg";"Richter + Frenzel Bamberg";"R&F";1.00;"3000121377709400 0001                          ";"77 Mineralgusswaschtisch1200mm";"77";"neo.2";306;"Mineralgusswaschtische";08.09.2011 00:00:00;08.09.2011 00:00:00;24.00;24.00;459.51;0.76;;"7324.9021";"Sanitärartikel"
"300012137";11;"300012137-11";"Richter + Frenzel GmbH + CO. KG, Kronacherstrasse 100, DE-96052 Bamberg";"Richter + Frenzel Bamberg";"R&F";1.00;"3000121377722400 0001                          ";"Unterbau neo.2 1200mm";"77";"neo.2";310;"Unterschränke";08.09.2011 00:00:00;08.09.2011 00:00:00;40.00;40.00;522.60;0.76;;"9403.6000";"Holzmöbel"
"300012137";12;"300012137-12";"Richter + Frenzel GmbH + CO. KG, Kronacherstrasse 100, DE-96052 Bamberg";"Richter + Frenzel Bamberg";"R&F";1.00;"3000121377740800 0001                          ";"Spiegelschrank neo.2 1200mm";"77";"neo.2";330;"Spiegelschränke";08.09.2011 00:00:00;08.09.2011 00:00:00;37.00;37.00;533.90;0.76;;"9403.6000";"Holzmöbel"
"300012138";10;"300012138-10";"Richter + Frenzel GmbH + Co.KG, Bleicherstr. 36, DE-87437 Kempten";"Richter + Frenzel Kempten";"R&F";1.00;"3000121387708300 0001                          ";"77 Glaswaschtisch 900mm";"77";"neo.2";306;"Mineralgusswaschtische";08.09.2011 00:00:00;08.09.2011 00:00:00;23.00;23.00;548.50;0.76;;"7324.9021";"Sanitärartikel"
"300012138";11;"300012138-11";"Richter + Frenzel GmbH + Co.KG, Bleicherstr. 36, DE-87437 Kempten";"Richter + Frenzel Kempten";"R&F";1.00;"3000121387722300 0001                          ";"Unterbau neo.2 900 mm";"77";"neo.2";310;"Unterschränke";08.09.2011 00:00:00;08.09.2011 00:00:00;35.00;35.00;584.28;0.76;;"9403.6000";"Holzmöbel"
"300012138";12;"300012138-12";"Richter + Frenzel GmbH + Co.KG, Bleicherstr. 36, DE-87437 Kempten";"Richter + Frenzel Kempten";"R&F";1.00;"3000121387740700 0001                          ";"Spiegelschrank neo.2 900 mm";"77";"neo.2";330;"Spiegelschränke";08.09.2011 00:00:00;08.09.2011 00:00:00;29.00;29.00;509.42;0.76;;"9403.6000";"Holzmöbel"
"300012138";20;"300012138-20";"Richter + Frenzel GmbH + Co.KG, Bleicherstr. 36, DE-87437 Kempten";"Richter + Frenzel Kempten";"R&F";1.00;"3000121387730402 0001                          ";"Seitenschrank neo.2 350 mm";"77";"neo.2";370;"Seitenschränke";08.09.2011 00:00:00;08.09.2011 00:00:00;32.00;32.00;376.65;0.76;;"9403.6000";"Holzmöbel"
"300012139";10;"300012139-10";"Richter + Frenzel GmbH + CO. KG, Stauffenbergstr. 5-9, DE-86161 Augsburg";"Richter + Frenzel Augsburg";"R&F";1.00;"3000121395920100 0001                          ";"Unterschrank MyStyle 410 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;12.00;12.00;269.30;0.76;;"9403.6000";"Holzmöbel"
"300012140";10;"300012140-10";"Richter + Frenzel GmbH + Co.KG, Benzstrasse 1, DE-63741 Aschaffenburg";"Richter + Frenzel Aschaffenburg";"R&F";1.00;"3000121405920100 0001                          ";"Unterschrank MyStyle 410 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;12.00;12.00;225.52;0.76;;"9403.6000";"Holzmöbel"
"300012141";10;"300012141-10";"Richter + Frenzel GmbH + Co.KG, Benzstrasse 1, DE-63741 Aschaffenburg";"Richter + Frenzel Aschaffenburg";"R&F";1.00;"3000121415925300 0001                          ";"Unterschrank MyStyle 540 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;21.00;21.00;305.56;0.76;;"9403.6000";"Holzmöbel"
"300012141";11;"300012141-11";"Richter + Frenzel GmbH + Co.KG, Benzstrasse 1, DE-63741 Aschaffenburg";"Richter + Frenzel Aschaffenburg";"R&F";1.00;"3000121415931101 0001                          ";"Seitenschrank MyStyle 410mm";"59";"MyStyle / cubito";370;"Seitenschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;30.00;30.00;306.97;0.76;;"9403.6000";"Holzmöbel"
"300012142";10;"300012142-10";"Richter + Frenzel GmbH + Co.KG, Gottlieb-Daimler-Str. 8, DE-35398 Giessen";"Richter + Frenzel Giessen";"R&F";1.00;"3000121425925400 0001                          ";"Unterschrank MyStyle 590 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;24.00;24.00;315.44;0.76;;"9403.6000";"Holzmöbel"
"300012142";11;"300012142-11";"Richter + Frenzel GmbH + Co.KG, Gottlieb-Daimler-Str. 8, DE-35398 Giessen";"Richter + Frenzel Giessen";"R&F";1.00;"3000121425930100 0001                          ";"Seitenschrank MyStyle 410mm";"59";"MyStyle / cubito";370;"Seitenschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;26.00;26.00;265.54;0.76;;"9403.6000";"Holzmöbel"
"300012143";10;"300012143-10";"Richter + Frenzel GmbH + CO. KG, Industriestr. 18 a, DE-84030 Landshut-Ergolding";"Richter + Frenzel Landshut-Ergoldin";"R&F";3.00;"3000121435925400 0001                          ";"Unterschrank MyStyle 590 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;24.00;72.00;946.33;0.76;;"9403.6000";"Holzmöbel"
"300012143";11;"300012143-11";"Richter + Frenzel GmbH + CO. KG, Industriestr. 18 a, DE-84030 Landshut-Ergolding";"Richter + Frenzel Landshut-Ergoldin";"R&F";1.00;"3000121435930100 0001                          ";"Seitenschrank MyStyle 410mm";"59";"MyStyle / cubito";370;"Seitenschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;26.00;26.00;265.54;0.76;;"9403.6000";"Holzmöbel"
"300012144";10;"300012144-10";"Richter + Frenzel GmbH + CO. KG, Industriestr. 18 a, DE-84030 Landshut-Ergolding";"Richter + Frenzel Landshut-Ergoldin";"R&F";1.00;"3000121445920600 0001                          ";"Unterschrank MyStyle 1240mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;54.00;54.00;723.64;0.76;;"9403.6000";"Holzmöbel"
"300012145";10;"300012145-10";"Richter + Frenzel GmbH + CO. KG, K. Hammerschmidt-Str. 51, DE-85609 Aschheim-Dornach";"Richter + Frenzel Aschheim-Dornach";"R&F";1.00;"3000121455925400 0001                          ";"Unterschrank MyStyle 590 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;24.00;24.00;315.44;0.76;;"9403.6000";"Holzmöbel"
"300012146";10;"300012146-10";"Richter + Frenzel GmbH + CO. KG, K. Hammerschmidt-Str. 51, DE-85609 Aschheim-Dornach";"Richter + Frenzel Aschheim-Dornach";"R&F";1.00;"3000121467740800 0001                          ";"Spiegelschrank neo.2 1200mm";"77";"neo.2";330;"Spiegelschränke";08.09.2011 00:00:00;08.09.2011 00:00:00;37.00;37.00;533.90;0.76;;"9403.6000";"Holzmöbel"
"300012147";10;"300012147-10";"Richter + Frenzel GmbH + Co.KG, Benzstrasse 1, DE-63741 Aschaffenburg";"Richter + Frenzel Aschaffenburg";"R&F";1.00;"3000121475920300 0001                          ";"Unterschrank MyStyle 540 mm";"59";"MyStyle / cubito";310;"Unterschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;23.00;23.00;341.34;0.76;;"9403.6000";"Holzmöbel"
"300012147";11;"300012147-11";"Richter + Frenzel GmbH + Co.KG, Benzstrasse 1, DE-63741 Aschaffenburg";"Richter + Frenzel Aschaffenburg";"R&F";1.00;"3000121475941600 0001                          ";"Spiegelschrank MyStyle 750 mm";"59";"MyStyle / cubito";330;"Spiegelschränke";06.09.2011 00:00:00;06.09.2011 00:00:00;25.00;25.00;548.50;0.76;;"9403.6000";"Holzmöbel"
"300012148";10;"300012148-10";"Richter + Frenzel GmbH + Co.KG, Hessenring 25, DE-64572 Büttelborn";"Richter + Frenzel Büttelborn";"R&F";1.00;"3000121487709300 0001                          ";"77 Mineralgusswaschtisch900 mm";"77";"neo.2";306;"Mineralgusswaschtische";08.09.2011 00:00:00;08.09.2011 00:00:00;16.00;16.00;357.35;0.76;;"7324.9021";"Sanitärartikel"
"300012148";11;"300012148-11";"Richter + Frenzel GmbH + Co.KG, Hessenring 25, DE-64572 Büttelborn";"Richter + Frenzel Büttelborn";"R&F";1.00;"3000121487721300 0001                          ";"Unterbau neo.2 900 mm";"77";"neo.2";310;"Unterschränke";08.09.2011 00:00:00;08.09.2011 00:00:00;65.00;65.00;721.29;0.76;;"9403.6000";"Holzmöbel"
"300012148";20;"300012148-20";"Richter + Frenzel GmbH + Co.KG, Hessenring 25, DE-64572 Büttelborn";"Richter + Frenzel Büttelborn";"R&F";1.00;"3000121487730301 0001                          ";"Seitenschrank neo.2 350 mm";"77";"neo.2";370;"Seitenschränke";08.09.2011 00:00:00;08.09.2011 00:00:00;32.00;32.00;255.18;0.76;;"9403.6000";"Holzmöbel"
"300012149";10;"300012149-10";"Richter + Frenzel GmbH + CO. KG, Kronacherstrasse 100, DE-96052 Bamberg";"Richter + Frenzel Bamberg";"R&F";1.00;"3000121498420400 0001                          ";"Unterbau MyStar 960 mm";"84";"MyStar";310;"Unterschränke";09.09.2011 00:00:00;09.09.2011 00:00:00;35.50;35.50;377.59;0.76;;"9403.6000";"Holzmöbel"
