"ZollPosition_Nr";"ZollPosition_Bezeichnung";"VK-Auftrag";"VK";"VK-Position";"KundeName";"Warenempfänger";"A_Adresse";"A_Hausnummer";"Land";"Postleitzahl";"Ort";"EORI_Nr";"Geplanter_Liefertermin";"Geplantes_WE_ Datum";"Gewicht_Einzel";"Gewicht_Total";"Betrag";"MengeTotal";"Währung";"MwSt";"Tour";"VersandLager";"Lagerplatz";"LagerBestand";"Eingelagert";"PA_Status";"ArtikelNr";"ArtikelBezeichnung";"ProduktlinieID";"ProduktlinieBezeichnung";"Projekt";"ProjektArtikel"
"9403.6000";"Holzmöbel";"300012420";"300012420-11";11;"Richter + Frenzel Giessen";"H00000355";"Gottlieb-Daimler-Str.";"8";"DE";"35398";"Giessen";"DE-4949692               ";30.09.2011 00:00:00;30.09.2011 00:00:00;26.00;26.00;264.60;1.00;"Euro";19;"R&F";"200";"F004      ";1.00;1;9;"3000124208430100 0001";"Hochschrank MyStar 350mm";"84";"MyStar";"300012420";"8430100 0001"
"9403.6000";"Holzmöbel";"300012420";"300012420-20";20;"Richter + Frenzel Giessen";"H00000355";"Gottlieb-Daimler-Str.";"8";"DE";"35398";"Giessen";"DE-4949692               ";30.09.2011 00:00:00;23.09.2011 00:00:00;34.00;34.00;607.82;1.00;"Euro";19;"R&F";"200";"A000      ";1.00;1;9;"3000124205941700 0001";"Spiegelschrank MyStyle 1000mm";"59";"MyStyle / cubito";"300012420";"5941700 0001"
"9403.6000";"Holzmöbel";"300012427";"300012427-10";10;"Richter + Frenzel Regensburg-Obertr";"H00000350";"Ernst-Frenzel-Str.";"4";"DE";"93083";"Obertraubling";"DE-4949692               ";30.09.2011 00:00:00;06.10.2011 00:00:00;60.00;60.00;0.00;1.00;"Euro";19;"R&F";"200";"A13       ";1.00;1;9;"SP00099526120000 0001";"Unterbau Noto 1900mm";"61";"Noto";"SP0009952";"6120000 0001"
"9403.6000";"Holzmöbel";"300012432";"300012432-10";10;"Richter + Frenzel Landshut-Ergoldin";"H00000342";"Industriestr.";"18 a";"DE";"84030";"Landshut-Ergolding";"DE-4949692               ";07.10.2011 00:00:00;07.10.2011 00:00:00;60.00;60.00;1096.52;1.00;"Euro";19;"R&F";"200";;;1;0;"SP00100456120000 0001";"Unterbau Noto 1700 mm";"61";"Noto";"SP0010045";"6120000 0001"
"9403.6000";"Holzmöbel";"300012454";"300012454-10";10;"Richter + Frenzel Giessen";"H00000355";"Gottlieb-Daimler-Str.";"8";"DE";"35398";"Giessen";"DE-4949692               ";23.09.2011 00:00:00;23.09.2011 00:00:00;65.00;65.00;574.86;1.00;"Euro";19;"R&F";"200";"A000      ";1.00;1;9;"3000124546120100 0001";"Unterbau Noto 1100mm";"61";"Noto";"300012454";"6120100 0001"
"9403.6000";"Holzmöbel";"300012454";"300012454-20";20;"Richter + Frenzel Giessen";"H00000355";"Gottlieb-Daimler-Str.";"8";"DE";"35398";"Giessen";"DE-4949692               ";23.09.2011 00:00:00;23.09.2011 00:00:00;40.00;40.00;326.74;1.00;"Euro";19;"R&F";"200";;;1;0;"3000124546130202 0001";"Seitenschrank Noto 450mm";"61";"Noto";"300012454";"6130202 0001"
"9403.6000";"Holzmöbel";"300012458";"300012458-10";10;"Richter + Frenzel Aschheim-Dornach";"H00000337";"K. Hammerschmidt-Str.";"51";"DE";"85609";"Aschheim-Dornach";"DE-4949692               ";04.10.2011 00:00:00;04.10.2011 00:00:00;54.00;54.00;796.14;1.00;"Euro";19;"R&F";"200";;;1;0;"SP00100325920600 0001";"Unterschrank MyStyle 1240mm";"59";"MyStyle / cubito";"SP0010032";"5920600 0001"
"9403.6000";"Holzmöbel";"300012458";"300012458-11";11;"Richter + Frenzel Aschheim-Dornach";"H00000337";"K. Hammerschmidt-Str.";"51";"DE";"85609";"Aschheim-Dornach";"DE-4949692               ";04.10.2011 00:00:00;04.10.2011 00:00:00;40.00;40.00;645.95;1.00;"Euro";19;"R&F";"200";;;1;0;"SP00100325940800 0001";"Spiegelschrank MyStyle 1350mm";"59";"MyStyle / cubito";"SP0010032";"5940800 0001"
"9403.6000";"Holzmöbel";"300012458";"300012458-20";20;"Richter + Frenzel Aschheim-Dornach";"H00000337";"K. Hammerschmidt-Str.";"51";"DE";"85609";"Aschheim-Dornach";"DE-4949692               ";04.10.2011 00:00:00;04.10.2011 00:00:00;12.00;12.00;269.30;1.00;"Euro";19;"R&F";"200";;;1;0;"3000124585920100 0001";"Unterschrank MyStyle 410 mm";"59";"MyStyle / cubito";"300012458";"5920100 0001"
"9403.6000";"Holzmöbel";"300012459";"300012459-10";10;"Richter + Frenzel Ingolstadt";"H00000348";"Eriagstr.";"11";"DE";"85053";"Ingolstadt";"DE-4949692               ";07.10.2011 00:00:00;07.10.2011 00:00:00;60.00;60.00;1089.84;1.00;"Euro";19;"R&F";"200";;;1;0;"SP00100346120000 0001";"Unterbau Noto 2000mm";"61";"Noto";"SP0010034";"6120000 0001"
